Name,Cases,Location
McDowell federal prison,473,"Welch, W.Va."
Cumberland federal prison,471,"Cumberland, Md."
Memphis federal prison,471,"Memphis, Tenn."
New Castle Correctional Facility,470,"New Castle, Ind."
Kentucky Correctional Institution for Women,470,"Pewee Valley, Ky."
West Tennessee State Penitentiary,470,"Henning, Tenn."
Milwaukee County House of Correction,470,"Franklin, Wis."
Allegheny County jail,469,"Pittsburgh, Pa."
Passaic County Jail,468,"Paterson, N.J."
Eastham Unit prison,467,"Lovelady, Texas"
Devens federal medical center prison,467,"Ayer, Mass."
Central New Mexico Correctional Facility,466,"Los Lunas, N.M."
Louis C. Powledge Unit,465,"Palestine, Texas"
Philadelphia federal prison,464,"Philadelphia, Pa."
Southern State Correctional Facility,463,"Maurice River Township, N.J."
Scotland Correctional Institution,463,"Laurinburg, N.C."
Travis County jail,462,"Austin, Texas"
Westville Correctional Facility,461,"Westville, Ind."
Chillicothe Correctional Institution,461,"Chillicothe, Ohio"
Atwater federal prison,460,"Atwater, Calif."
Dauphin County jail,455,"Harrisburg, Pa."
Rochester federal prison medical center,455,"Rochester, Minn."
Hamilton Correctional Institution,454,"Jasper, Fla."
Hill Correctional Center,453,"Galesburg, Ill."
Ada County Jail,453,"Boise, Idaho"
Louisiana Correctional Institute for Women,452,"Saint Gabriel, La."
Central Detention Facility,451,"Washington, D.C."
Ionia Correctional Facility,450,"Ionia, Mich."
Minnesota Correctional Facility – Lino Lakes,450,"Lino Lakes, Minn."
William P. Hobby Unit prison,450,"Marlin, Texas"
Redgranite Correctional Institution,450,"Redgranite, Wis."
Ramsey Unit prison,447,"Rosharon, Texas"
Albemarle Correctional Institution,446,"New London, N.C."
Los Angeles Metropolitan Detention Center federal prison,444,"Los Angeles, Calif."
James River Correctional Center,443,"Jamestown, N.D."
George Bailey Jail,443,"San Diego, Calif."
San Diego federal prison,442,"San Diego, Calif."
Arizona State Prison Complex – Florence,440,"Florence, Ariz."
Green River Correctional Complex,440,"Central City, Ky."
Pam Lychner State Jail,440,"Humble, Texas"
Douglas County jail,440,"Omaha, Neb."
Northwestern Regional Adult Detention Center,440,"Winchester, Va."
