"state","county","pop_tier","region","date_checked","source_reports","dashboard","testing","cases","population","deaths","releases","news_reports","releases_policy","breakdown","breakdown_parole_violations","breakdown_minor_offenses","breakdown_bail","breakdown_time_left","breakdown_vulnerable","breakdown_other","legal_filing","capacity","wave_1_pop_reduction","wave_1_pop_prior"
"North Dakota","Walsh County","3","2",2020-09-14,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Oregon","Clackamas County","2","4",2020-11-01,"Y","N","N","N","Y","N","N","Y","Mix","Y","N","N","N","N","Y","N","N",434,314,466
"Oregon","Deschutes County","2","4",2020-11-07,"Y","N","N","N","Y","N","N","Y","Mix","Y","N","Y","N","Y","N","N","N",452,150,300
"Oregon","Douglas County","2","4",2020-11-07,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","N","N",283,14,151
"Oregon","Harney County","3","4",2020-11-08,"Y","N","N","N","Y","N","N","Y","Mix","N","N","N","N","N","N","N","N",,2,9
"Oregon","Hood River County","3","4",2020-11-08,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
"Oregon","Jefferson County","3","4",2020-11-22,"N","N","N","N","N","N","N","N",,,,,,,,,,160,,
"Oregon","Klamath County","3","4",2020-11-22,"N","N","N","N","N","N","N","Y","Mix","Y","N","Y","N","N","N","Y","N",144,19,120
"Oregon","Lane County","2","4",2020-11-22,"Y","N","Y","Y","N","N","Y","N",,,,,,,,,,,,
"Oregon","Linn County","2","4",2020-11-22,"Y","N","N","N","Y","N","N","Y","Mix","N","N","N","N","N","N","N","N",230,92,207
"Oregon","Marion County","2","4",2020-11-23,"Y","N","N","N","Y","N","N","Y","Mix","Y","N","N","N","N","N","Y","N",,134,415
"Oregon","Multnomah County","1","4",2020-12-02,"Y","N","N","N","N","N","Y","Y","Mix","Y","N","Y","Y","Y","Y","N","N",,358,1097
"Oregon","Sherman County","3","4",2020-12-02,"N","N","N","N","N","N","N","N",,,,,,,,,,,,
